run_group,config_name,phase,stage_name,samples_count,mean_ms,median_ms,p90_ms,total_ms,share_of_total_loop_pct,data_status
one_video_e2,proposed_without_fallback,warmup,roi_infer_ms,40,29.296450,0.000000,0.000000,1171.858000,21.865813,ok
one_video_e2,proposed_without_fallback,warmup,tracking_ms,40,0.025450,0.020000,0.023100,1.018000,0.018995,ok
one_video_e2,proposed_without_fallback,warmup,event_logic_ms,40,0.006400,0.005000,0.009100,0.256000,0.004777,ok
one_video_e2,proposed_without_fallback,warmup,render_ms,40,8.099400,7.331500,9.535300,323.976000,6.045100,ok
one_video_e2,proposed_without_fallback,warmup,io_ms,40,3.737600,3.417500,4.258000,149.504000,2.789610,ok
one_video_e2,proposed_without_fallback,warmup,total_loop_ms,40,133.982900,13.425500,15.862700,5359.316000,100.000000,ok
one_video_e2,proposed_without_fallback,steady,main_infer_ms,292,205.448363,0.000000,619.654200,59990.922000,70.082815,ok
one_video_e2,proposed_without_fallback,steady,roi_infer_ms,292,73.138568,0.000000,212.551000,21356.462000,24.949124,ok
one_video_e2,proposed_without_fallback,steady,tracking_ms,292,0.053185,0.022000,0.127900,15.530000,0.018143,ok
one_video_e2,proposed_without_fallback,steady,event_logic_ms,292,0.009363,0.010000,0.013000,2.734000,0.003194,ok
one_video_e2,proposed_without_fallback,steady,render_ms,292,8.423445,7.913500,9.623900,2459.646000,2.873417,ok
one_video_e2,proposed_without_fallback,steady,io_ms,292,3.402301,3.324500,4.146300,993.472000,1.160598,ok
one_video_e2,proposed_without_fallback,steady,total_loop_ms,292,293.150842,14.550500,877.986100,85600.046000,100.000000,ok
